No.;Pos.;Player;Date of birth (age);Caps;Goals;Club;Country;MarketValue
15;MF;László Kleinheisler;8 April 1994 (aged 27);34;3;Osijek;Hungary;1233333.3333333333
16;MF;Dániel Gazdag;2 March 1996 (aged 25);6;1;Philadelphia Union;Hungary;816666.6666666666
17;MF;Roland Varga;23 January 1990 (aged 31);22;3;MTK Budapest;Hungary;691666.6666666666
18;MF;Dávid Sigér;30 November 1990 (aged 30);13;1;Ferencváros;Hungary;800000.0
19;MF;Kevin Varga;30 March 1996 (aged 25);8;1;Kasımpaşa;Hungary;1087500.0
20;FW;Roland Sallai;22 May 1997 (aged 24);22;4;SC Freiburg;Hungary;4250000.0
21;DF;Endre Botka;25 August 1994 (aged 26);10;0;Ferencváros;Hungary;675000.0
22;GK;Ádám Bogdán;27 September 1987 (aged 33);21;0;Ferencváros;Hungary;358333.3333333333
23;FW;Nemanja Nikolić;31 December 1987 (aged 33);38;8;Fehérvár;Hungary;1950000.0
24;FW;Szabolcs Schön;27 September 2000 (aged 20);1;0;FC Dallas;Hungary;300000.0
25;FW;János Hahn;15 March 1995 (aged 26);2;0;Paks;Hungary;275000.0
26;DF;Bendegúz Bolla;22 November 1999 (aged 21);2;0;Fehérvár;Hungary;400000.0
1;GK;Rui Patrício;15 February 1988 (aged 33);93;0;Wolverhampton Wanderers;Portugal;15000000.0
2;DF;Nélson Semedo;16 November 1993 (aged 27);18;0;Wolverhampton Wanderers;Portugal;35666666.666666664
3;DF;Pepe;26 February 1983 (aged 38);115;7;Porto;Portugal;45666666.666666664
4;DF;Rúben Dias;14 May 1997 (aged 24);28;2;Manchester City;Portugal;43875000.0
5;DF;Raphaël Guerreiro;22 December 1993 (aged 27);46;2;Borussia Dortmund;Portugal;32666666.666666668
6;DF;José Fonte;22 December 1983 (aged 37);46;0;Lille;Portugal;1350000.0
7;FW;Cristiano Ronaldo;5 February 1985 (aged 36);175;104;Juventus;Portugal;60000000.0
8;MF;João Moutinho;8 September 1986 (aged 34);131;7;Wolverhampton Wanderers;Portugal;6500000.0
9;FW;André Silva;6 November 1995 (aged 25);39;16;Eintracht Frankfurt;Portugal;22666666.666666668
10;MF;Bernardo Silva;10 August 1994 (aged 26);55;7;Manchester City;Portugal;76666666.66666667
11;MF;Bruno Fernandes;8 September 1994 (aged 26);29;4;Manchester United;Portugal;72000000.0
12;GK;Anthony Lopes;1 October 1990 (aged 30);13;0;Lyon;Portugal;18250000.0
13;MF;Danilo Pereira;9 September 1991 (aged 29);47;2;Paris Saint-Germain;Portugal;24000000.0
14;MF;William Carvalho;7 April 1992 (aged 29);66;4;Real Betis;Portugal;18000000.0
15;FW;Rafa Silva;17 May 1993 (aged 28);21;0;Benfica;Portugal;24000000.0
16;MF;Renato Sanches;18 August 1997 (aged 23);26;2;Lille;Portugal;19000000.0
17;MF;Gonçalo Guedes;29 November 1996 (aged 24);23;6;Valencia;Portugal;20000000.0
18;MF;Rúben Neves;13 March 1997 (aged 24);21;0;Wolverhampton Wanderers;Portugal;46666666.666666664
19;MF;Pedro Gonçalves;28 June 1998 (aged 22);2;0;Sporting CP;Portugal;
20;DF;Diogo Dalot;18 March 1999 (aged 22);0;0;Milan;Portugal;14000000.0
21;FW;Diogo Jota;4 December 1996 (aged 24);14;6;Liverpool;Portugal;34000000.0
22;GK;Rui Silva;7 February 1994 (aged 27);1;0;Granada;Portugal;13333333.333333334
23;FW;João Félix;10 November 1999 (aged 21);17;3;Atlético Madrid;Portugal;87750000.0
24;MF;Sérgio Oliveira;2 June 1992 (aged 29);11;0;Porto;Portugal;6400000.0
25;DF;Nuno Mendes;19 June 2002 (aged 18);5;0;Sporting CP;Portugal;9500000.0
26;MF;João Palhinha;9 July 1995 (aged 25);4;1;Sporting CP;Portugal;8600000.0
